datetime,SHOP_Open,SHOP_High,SHOP_Low,SHOP_Close,SHOP_Volume,SHOP_sma8,SHOP_sma21,SHOP_sma50,SHOP_sma200,SHOP_sma300,SHOP_ema8,SHOP_ema20,SHOP_ema50,SHOP_ema200,SHOP_rsi,SHOP_macd,SHOP_stoch,SHOP_stochrsi,SHOP_vwap,SHOP_bb_hband,SHOP_bb_mavg,SHOP_bb_lband,SHOP_aroon_up,SHOP_aroon_down,SHOP_atr,SHOP_cmf,SHOP_roc,SHOP_uo,SHOP_tsi,SHOP_obv,SHOP_adi,SHOP_dcu,SHOP_dcm,SHOP_dcl,SHOP_kcu,SHOP_kcm,SHOP_kcl
2021-11-09 14:30:00,154.7,155.0,154.47,154.75,49610,154.45624999999998,154.02761904761905,151.8824,146.6144075494563,145.81099926652573,154.55454632187417,154.06555492769718,151.95764577362954,146.6144075494563,54.41981779849879,-0.7961900719321306,62.24719101123595,0.25571243363637314,154.61131273378334,156.82784029751866,154.13150000000002,151.43515970248137,60.0,28.000000000000004,2.019470170041354,0.025159309923307803,0.2007252007252022,53.515538448897516,11.285841148324929,2100839947,1911276641.9752254,156.43,153.72500000000002,151.02,155.9685,154.119,152.26950000000002
2021-11-09 15:30:00,154.79,155.69,154.76,155.62,79601,154.73250000000002,154.20238095238096,151.9818,146.70401543453633,145.87617535113353,154.79131380590212,154.21359731553554,152.101267507997,146.70401543453633,57.2777522395491,-0.8292356268493961,81.79775280898879,0.45238870559779076,154.64589811527966,156.9621242982805,154.279,151.5958757017195,56.00000000000001,24.0,1.9423651578955428,0.028043563075672472,-0.2435897435897407,50.05775639413748,11.75747533946313,2100919548,1911344260.0289888,156.43,153.72500000000002,151.02,156.10766666666666,154.26116666666667,152.41466666666665
2021-11-10 00:00:00,153.74,154.49,147.0,147.4,6922000,153.72125,153.95142857142858,151.9096,146.71094065409318,145.88630043185688,153.14879962681275,153.56468328548453,151.91690407631083,146.71094065409318,34.968329300287266,-0.18994954449854617,4.241781548250322,0.0,152.14987725922813,157.92746554847056,154.08149999999998,150.2355344515294,52.0,100.0,2.4193390751887187,-0.259332309990107,-5.51887699506441,33.21371827759388,2.842733686890391,2093997548,1905161592.4722464,156.43,151.715,147.0,156.29583333333332,154.15783333333334,152.01983333333334
2021-11-10 09:30:00,153.74,154.49,151.61,152.42,143712,153.5425,154.00238095238097,151.9028,146.76774721474897,145.92971371802392,152.98684415418768,153.4556658297241,151.9366333282202,146.76774721474897,48.22997273820134,-0.08737555354559845,57.47613997879092,0.43815736482991385,152.1231202856262,157.9274655484706,154.0815,150.23553445152942,48.0,96.0,2.752957712675239,-0.2636395990333168,-2.2259285393546726,39.3775221950498,1.3372339505568749,2094141260,1905098718.4722464,156.43,151.715,147.0,156.40616666666668,154.2001666666667,151.99416666666667
2021-11-10 10:30:00,152.4,152.84,151.71,152.33,64649,153.13375,153.99809523809523,151.99620000000002,146.82309301360718,145.97224053717326,152.84087878659042,153.34845956022656,151.95205947221157,146.82309301360718,48.04082273731653,0.0011639043639490865,57.25026852846414,0.4415347387716984,152.1014341345405,157.93057085323156,154.0775,150.22442914676841,44.0,92.0,2.637032161769864,-0.26590827337157996,-2.1832659089449544,41.548758263882924,0.22901910464749237,2094076611,1905105011.7377331,156.43,151.715,147.0,156.4185,154.20749999999998,151.9965
2021-11-10 11:30:00,152.39,152.6,151.28,152.26,42580,152.8825,153.99095238095236,152.029,146.87719159058622,146.01401966981663,152.71179461179256,153.2447967449669,151.96413557134053,146.87719159058622,47.88352746070442,0.07610320723480868,56.498388829215784,0.45028309887982815,152.0869961441634,157.94708395217012,154.0475,150.1479160478299,40.0,88.0,2.542958435929159,-0.26438654844128673,-0.7496251874063006,44.152753338975096,-0.6323716670381838,2094034031,1905125656.5862179,156.43,151.715,147.0,156.37383333333335,154.16083333333333,151.94783333333334
2021-11-10 12:30:00,152.08,152.27,150.04,150.37,69608,152.47625,153.87238095238095,152.0354,146.9119459031177,146.04296306071487,152.19139580917198,152.97100657877957,151.90162045089582,146.9119459031177,43.721116674912444,0.284718294016983,36.19763694951669,0.3609800311549937,152.0556786692003,158.10791961452867,153.897,149.6860803854713,36.0,84.0,2.5206042619342206,-0.17271138880048115,-3.2928162582802782,41.01453427968947,-2.809676530648458,2093964423,1905076650.05707,156.43,151.715,147.0,156.11833333333334,154.00533333333334,151.89233333333334
2021-11-10 13:30:00,150.4,150.4,147.3,147.3,135055,151.55625,153.58285714285714,151.9898,146.91580713791254,146.05131546562706,151.10441896268932,152.43091071413392,151.72116474693914,146.91580713791254,37.950323160500794,0.6898187945555208,3.222341568206351,0.122982564352533,152.00387892585977,158.67096431360275,153.571,148.47103568639724,32.0,100.0,2.561989671796062,-0.18623169166707754,-4.25739356516086,37.336757950596215,-6.775437264568221,2093829368,1904941595.05707,156.43,151.715,147.0,155.8863333333333,153.74333333333334,151.60033333333334
2021-11-10 14:30:00,147.37,149.15,147.0,148.35,109643,150.75625000000002,153.32238095238097,152.0016,146.9300777136547,146.06658911701825,150.49232585986948,152.04225255088306,151.58896220784348,146.9300777136547,40.82707837600291,0.9155833599967877,14.50053705692797,0.2545866627409321,150.03706657778812,158.82882784003434,153.2665,147.70417215996568,28.000000000000004,96.0,2.5325618380963433,-0.18749315098519995,-4.659383033419023,36.796314750148255,-8.861926083578577,2093939011,1904969643.2663724,156.43,151.715,147.0,155.63016666666667,153.44116666666667,151.25216666666668
2021-11-10 15:30:00,148.35,148.77,147.36,147.45,102546,149.73499999999999,152.98952380952383,151.9948,146.93525106973775,146.07578121590848,149.81625344656516,151.60489516508468,151.42664996439865,146.93525106973775,39.1515557272503,1.1538253031772854,4.89662676822621,0.18177833557415213,149.92928999028277,158.79554228558987,152.839,146.88245771441012,24.0,92.0,2.4523788496608896,-0.20228604419439322,-4.420820639139186,42.71082720514175,-11.067192868032302,2093836465,1904880188.2450957,156.43,151.715,147.0,155.21233333333333,153.06383333333332,150.9153333333333
2021-11-11 00:00:00,150.05,151.2,149.0,149.03,5458000,149.93875,152.65761904761905,152.0178,146.9560943426757,146.0954105766001,149.64153045843955,151.35966705412423,151.33266369128498,146.9560943426757,43.53280043760855,1.2012932039235125,22.08922742110992,0.3838947856535038,149.8155054638974,158.48031217884508,152.49,146.49968782115494,20.0,88.0,2.545066074685112,-0.4157676587222734,-2.9878922015362606,34.965998399136566,-11.451170913262258,2099294465,1899571042.7905502,156.31,151.655,147.0,154.96533333333335,152.75133333333332,150.53733333333335
2021-11-11 09:30:00,150.05,150.93,149.0,149.8,150394,149.61125,152.36190476190475,152.0608,146.9843919114053,146.1200257887157,149.67674591211966,151.21112733468385,151.27255923280322,146.9843919114053,45.58894433724659,1.1633687021842434,32.220943613348815,0.4760596034184438,149.78696044126235,158.07177038115128,152.1855,146.2992296188487,16.0,84.0,2.501132783636176,-0.4134019031587852,-3.142376826587343,35.00741876493727,-11.111560906610032,2099444859,1899545327.7542808,156.31,151.655,147.0,154.7345,152.4475,150.1605
2021-11-11 10:30:00,149.8,151.15,149.8,149.93,74791,149.31125,152.07809523809524,152.06879999999998,147.01370144462516,146.14534123198007,149.7330245983153,151.0891152075711,151.21990985112467,147.01370144462516,45.94680661576408,1.1100276401129179,33.716915995397095,0.4921004611085681,149.77980178473342,157.62407216067132,151.89550000000003,146.16692783932874,12.0,80.0,2.418909013376449,-0.41451422501282903,-3.1147011308562154,31.692158316252755,-10.734614918869523,2099519650,1899484940.9468734,156.31,151.655,147.0,154.49349999999998,152.1705,149.8475
2021-11-11 11:30:00,150.07,150.7,149.85,150.34,51423,149.07125000000002,151.82142857142858,152.1494,147.0467989426886,146.17321271881076,149.8679080209119,151.01777090208813,151.18540358245312,147.0467989426886,47.12789010949785,1.0228797693720253,38.434982738780256,0.5450414760756206,149.76090890733772,157.46453999549306,151.742,146.01946000450693,8.0,76.0,2.306844083849559,-0.41019818786901063,-3.392880092533094,33.59461553884422,-10.086867250335931,2099571073,1899492805.640991,156.31,151.655,147.0,154.23133333333334,151.9788333333333,149.72633333333334
