datetime,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,SPY_sma50,SPY_sma200,SPY_sma300,SPY_ema8,SPY_ema20,SPY_ema50,SPY_rsi,SPY_macd,SPY_stoch,SPY_stochrsi,SPY_vwap,SPY_bb_hband,SPY_bb_mavg,SPY_bb_lband,SPY_atr,SPY_roc,SPY_obv,SPY_adi
2019-07-12 00:00:00,283.14,283.97,282.82,283.89,40326000,271.9106,259.9764,259.54330000000004,281.375999047026,278.13638539269186,273.60363079942675,71.3055391325083,-3.306289361694269,99.18367346938734,0.9842309114858216,279.03655874588554,285.05930829589823,278.001,270.9426917041017,2.2638003394198907,3.401930431615361,2863800900,11916679205.74024
2019-07-15 00:00:00,284.35,284.35,283.46,283.99,33900000,272.11800000000005,260.04415,259.6829666666667,281.95688814768687,278.6938724981498,274.01093939552766,71.4751958190204,-3.3627235127681843,96.46365422396843,0.9962525560871038,279.3603384397098,285.5284088012451,278.60949999999997,271.6905911987548,2.1656717437470445,3.5401779203733543,2897700900,11923154486.639116
2019-07-16 00:00:00,283.89,284.11,282.75,283.07,36650100,272.2534,260.11135,259.80913333333336,282.2042463370898,279.11064654594503,274.36619667413447,67.51991512180516,-3.2952263546321774,87.42632612966572,0.7159866861248099,280.0338554167943,285.621254720721,279.16700000000003,272.71274527927903,2.108123762050828,2.8410535876475906,2861050800,11903751492.52147
2019-07-17 00:00:00,283.04,283.21,281.15,281.15,36036300,272.3732,260.1652,259.9261333333333,281.96996937329203,279.3048706844265,274.6322281771096,60.051263681170965,-3.05162913552698,66.9079627714577,0.045722258497760106,280.52784563717165,285.6641952057174,279.486,273.30780479428256,2.1046863504757694,1.6192575993060183,2825014500,11867715192.52147
2019-07-18 00:00:00,280.63,282.57,280.16,282.17,51392600,272.6052,260.224,260.04653333333334,282.0144206236716,279.57774014305255,274.9278270721249,62.428912432922154,-2.9073677343986333,74.70997679814379,0.20716967759899454,280.92154923419884,285.8079541198266,279.825,273.8420458801734,2.1264944682989264,1.0709936241851168,2876407100,11902048008.289104
2019-07-19 00:00:00,283.32,283.35,280.43,280.61,58678600,272.8136,260.2703,260.15380000000005,281.70232715174456,279.67605060561897,275.15065738302195,56.855440836468645,-2.6367655798462692,41.74454828660436,0.0,281.3478448871865,285.88748398783866,279.95449999999994,274.0215160121612,2.1831734348490044,0.2500803829802396,2817728500,11850603756.23431
2019-07-22 00:00:00,281.02,281.86,280.48,281.3,43638100,273.0522,260.32085,260.2556333333333,281.61292111802356,279.83071245270287,275.3918080738838,58.61534313081928,-2.4497494692442956,49.91789819376034,0.11994447859018754,281.60336905353927,285.9979142338791,280.139,274.2800857661209,2.125803903788361,-0.301258195995026,2861366600,11858825427.248802
2019-07-23 00:00:00,282.47,283.31,281.6,283.31,44564500,273.30379999999997,260.3807,260.3616,281.99004975846276,280.1620731714931,275.70232540431977,63.310364457560695,-2.4356513829408186,80.52434456928812,0.43992922252371264,281.8992862389004,286.2999142338791,280.44100000000003,274.58208576612094,2.117532196374906,0.5251392683532691,2905931100,11903389927.248802
2019-07-24 00:00:00,282.51,284.64,282.42,284.64,47213200,273.7182,260.4578,260.4716,282.57892758991545,280.58854239325564,276.05282244728767,66.05458844381207,-2.502946028908866,100.0,0.629227207865134,282.06614215169355,286.41307158160294,280.9455,275.477928418397,2.1248513252052676,1.5555872698729891,2953144300,11950603127.248802
2019-07-25 00:00:00,284.17,284.22,282.44,283.28,55394100,274.0576,260.53565000000003,260.5828666666667,282.7347214588231,280.844871689136,276.33624117484504,61.02795810100967,-2.4186561244233076,75.84369449378305,0.2854026807919014,282.2498743914185,286.00945047653886,281.3955,276.7815495234612,2.130219087690605,0.9443038876812804,2897750200,11947491099.158913
2019-07-26 00:00:00,284.0,285.38,283.86,285.18,45084100,274.4038,260.62300000000005,260.69696666666664,283.27811669019576,281.25774105207546,276.68305524641977,65.03154928831158,-2.4766209442774425,96.86028257456847,0.5592507166912769,282.5506913982331,285.8433977273812,281.892,277.9406022726188,2.128060581426992,1.1384189807426248,2942834300,11980710962.316809
2019-07-29 00:00:00,285.05,285.18,284.08,284.66,38126500,274.69,260.7097,260.81003333333337,283.5852018701523,281.5817657137826,276.9958766093053,63.12037386309434,-2.45232989494059,86.20689655172463,0.4285251725560867,282.82642836314875,285.61620314463624,282.2915,278.9667968553637,2.054627682753637,0.7182535470403105,2904707800,11982790589.589539
2019-07-30 00:00:00,283.19,284.38,282.8,283.96,45849000,274.9972,260.8352,260.92286666666666,283.66849034345177,281.80826421723185,277.2689794873718,60.54105054478035,-2.3495112107599425,72.79693486589993,0.25209791222290445,282.964753948089,285.6038790849738,282.53049999999996,279.4571209150261,2.0407257054140926,0.024657437739967304,2858858800,12004264171.86802
2019-07-31 00:00:00,284.21,284.41,278.75,280.85,104245200,275.2776,260.97364999999996,261.01903333333337,283.04215915601804,281.71700095844784,277.4094116643376,50.64008250132635,-1.994089036991511,31.674208144796744,0.0,282.76044802049864,285.51488574245104,282.5775,279.64011425754893,2.2992452978845166,-1.1056727349554514,2754613600,11977374067.27438
2019-08-01 00:00:00,281.01,284.1,277.58,278.41,142646600,275.4612,261.08235,261.10943333333336,282.0127904546807,281.4020484862147,277.4486504225989,44.49219814968571,-1.4982558348995667,10.64102564102615,0.0,282.22212572609624,285.8438199967501,282.3905,278.93718000324986,2.600727776607054,-1.6462359133783049,2611967000,11871045466.660885
2019-08-02 00:00:00,277.47,277.73,274.69,276.31,116749700,275.6194,261.18775,261.1905,280.7455036869739,280.9170914875276,277.4039974648499,39.992121792607016,-0.9251870203272574,15.154349859681991,0.0,281.3493800718007,286.46793301314653,282.1145,277.7610669868535,2.6806757925636946,-1.721500978125547,2495217300,11878726367.976673
2019-08-05 00:00:00,272.03,272.15,266.02,268.0,178745400,275.6768,261.2237,261.2456,277.91316953431306,279.6868922982393,277.0352132505421,27.946487703849,0.1972479428883389,10.227272727272814,0.0,279.03999088093764,289.0248032235518,281.5005,273.97619677644815,3.2241989502377177,-5.021795371584511,2316471900,11815451079.559055
2019-08-06 00:00:00,269.97,271.99,268.44,271.76,120711700,275.79740000000004,261.27819999999997,261.3152333333333,276.5457985266879,278.93195017459743,276.8283421426777,37.16810107540317,0.7744576953463138,29.64876033057854,0.2419856458992637,278.03005924001695,289.6971553226751,281.05699999999996,272.41684467732483,3.2788990252207384,-3.15384341256549,2437183600,11920521263.502716
2019-08-07 00:00:00,268.55,272.72,266.32,271.92,140572300,275.9706,261.35235,261.395,275.51784329853507,278.26414539606435,276.6358581370825,37.53446192767195,1.205098296897802,30.475206611570403,0.2515993722502225,276.9566520416268,290.05042012392425,280.55449999999996,271.05857987607567,3.501834809133545,-3.3345183078563796,2577755900,12025950488.502716
2019-08-08 00:00:00,273.48,277.25,272.9,277.25,87713900,276.2858,261.45385,261.4815333333333,275.90276700997174,278.1675601202487,276.6599421317067,48.34059239709598,1.1035762804849014,58.00619834710749,0.5351645528705178,276.65456831704677,289.8356549202068,280.2855,270.7353450797932,3.6324180370525765,-2.1389996823267805,2665469800,12113664388.502716
2019-08-09 00:00:00,276.27,276.9,273.51,275.37,93730000,276.5492,261.55170000000004,261.56690000000003,275.7843743410891,277.90112582308217,276.60935616575745,45.35990016944289,1.161431381238458,48.29545454545463,0.45694779134801783,276.393221565446,289.48828491814777,279.8595,270.2307150818523,3.640102462977393,-3.2567453625632314,2571739800,12122788547.794752
2019-08-12 00:00:00,273.8,275.36,271.02,272.01,65527600,276.816,261.63925,261.6329,274.9456244875138,277.34006622088384,276.4289892572964,40.54776122275887,1.4615579544073398,30.940082644628124,0.3306717803885517,275.9888615422192,289.2699464881905,279.2605,269.25105351180946,3.690809429907581,-3.9783959333521546,2506212200,12087156027.979084
2019-08-13 00:00:00,271.7,277.76,271.34,276.24,94299800,277.18059999999997,261.7865,261.709,275.2332634902885,277.2352980093711,276.421577913873,48.0235715747836,1.3426080279224948,52.78925619834721,0.5413792781551221,275.6457942157537,288.85100664518245,278.919,268.9869933548175,3.885751613485612,-3.1348621922995994,2600512000,12136802963.181578
2019-08-14 00:00:00,272.01,272.65,267.94,268.08,135622100,277.27,261.87085,261.7573,273.6436493813355,276.36336486562146,276.0944572113682,38.076748514066786,1.8850534356289472,10.6404958677686,0.2731628417859236,274.7586379366865,289.1942610917225,278.26550000000003,267.33673890827754,4.201055069665212,-5.8244923768706665,2464889900,12009243323.478817
2019-08-15 00:00:00,269.0,269.72,266.65,268.78,99556600,277.32759999999996,261.98080000000004,261.8008666666667,272.5628384077054,275.6411396403242,275.80761575209885,39.23938687643037,2.232723730149644,14.405010438413296,0.32105918355038143,274.01571555648025,289.1108085524661,277.596,266.0811914475339,4.120265421831986,-5.345823355402172,2564446500,12047833666.80129
2019-08-16 00:00:00,270.51,273.2,268.84,272.75,83018300,277.4302,262.11740000000003,261.8577666666667,272.60442987265975,275.3657930079124,275.68770925201653,45.49027902242584,2.162975684772391,36.595976073953246,0.5382428782430495,273.6141934589018,288.815619170538,277.20300000000003,265.59038082946205,4.141675034558274,-2.884101833719075,2647464800,12113715161.755419
2019-08-19 00:00:00,275.9,276.74,275.2,276.04,53571800,277.545,262.2523,261.9231,273.3678899009576,275.430003197635,275.70152457546686,50.074179147483036,1.8212303422714626,54.486133768352445,0.9750633005086432,273.3929379536818,288.4068949589654,276.94,265.4731050410346,4.130841103518398,-0.851262526489711,2701036600,12118585325.391785
2019-08-20 00:00:00,275.51,276.07,273.79,273.92,51596400,277.5926,262.36330000000004,261.98023333333333,273.49058103407816,275.2861933692888,275.63166086662505,47.31316978765775,1.7018431896878496,43.69469026548681,0.8752237951772593,272.86962718979197,287.6202380686698,276.4705,265.32076193133025,3.9986381675527958,-0.8649705041438913,2649440200,12072872725.391785
2019-08-21 00:00:00,276.18,276.54,275.46,276.15,49524700,277.68600000000004,262.47205,262.0437,274.08156302650525,275.36846066745176,275.6519878914633,50.410566765958166,1.4110202845048434,86.2862010221464,1.0,272.2394787969007,286.54686929734595,276.046,265.54513070265403,3.9001640127275965,3.0410447761193944,2698964900,12086629586.502893
2019-08-22 00:00:00,276.89,277.55,274.21,276.07,51666400,277.7874,262.5879,262.1096333333333,274.5234379095041,275.43527393721826,275.66838052317064,50.29633131122966,1.1734693441534318,85.6047700170358,0.9949147501478842,272.0280590273922,285.6495543454932,275.6855,265.7214456545068,3.8601522975327707,1.585958198410363,2647298500,12092507799.676546
2019-08-23 00:00:00,274.71,276.44,267.67,268.97,149161500,277.7244,262.6613,262.1497333333333,273.28934059628097,274.8195335622451,275.4056989340267,41.342157559022645,1.5403628314091407,23.16433566433597,0.3152023634538515,272.37385909907005,284.23690258440774,274.875,265.51309741559226,4.210855704851857,-1.0848779052662505,2498137000,11987567496.939945
2019-08-26 00:00:00,271.26,271.95,269.66,271.95,72423800,277.72700000000003,262.74154999999996,262.2008666666666,272.99170935266295,274.54624465155507,275.2701813287708,45.71078835727897,1.5725402036874243,49.213286713286685,0.634999988917089,272.46543352449737,282.5215081501976,274.2395,265.95749184980247,4.122937440219579,-1.9116321009918886,2570560800,12059991296.939945
2019-08-27 00:00:00,273.4,273.79,270.09,270.88,66668900,277.70619999999997,262.78905,262.2502,272.5224406076267,274.1970784942641,275.0980173550935,44.431230876747925,1.6651858349175086,38.07380738073819,0.5152080428708025,272.6759923473362,280.67354761552417,273.5855,266.4974523844759,4.092727623061041,-1.630533464066532,2503891900,12021791819.102108
2019-08-28 00:00:00,270.19,272.96,269.35,272.79,59696700,277.6666,262.8485,262.30916666666667,272.58189825037636,274.0630710186199,275.00750687058,47.268778711902954,1.5664302943152393,55.26552655265559,0.7452704434351932,272.3809094389434,279.4405152604429,273.1825,266.9244847395571,4.058247078556677,0.2867541634498841,2563588600,12075866115.223993
2019-08-29 00:00:00,275.46,276.82,274.41,276.27,57899400,277.6842,262.93805,262.3783,273.4014764169594,274.2732547311323,275.0570164050671,52.070991696680736,1.193599824677392,86.58865886588653,1.0,272.3167361639795,279.03856456446147,273.07550000000003,267.1124354355386,4.056229430088341,0.010860121633352416,2621488000,12107338403.190798
2019-08-30 00:00:00,277.82,277.84,275.18,276.15,62901200,277.6468,263.05115,262.4523666666667,274.01225943541283,274.45199237578635,275.09987850682916,51.895486548142415,0.8974665527426282,84.89722966934765,0.9874587609884925,272.5233957066256,279.0135907325684,273.0675,267.1214092674316,3.9564987565106002,3.0102954341987442,2558586800,12090312514.468992
2019-09-03 00:00:00,274.37,275.33,273.15,274.54,69101400,277.5854,263.1586,262.5195,274.1295351164322,274.4603740542829,275.07792248695347,49.48557053509719,0.7836588148707051,70.50938337801648,0.8152510909060376,272.4116678523366,278.89231947684135,273.3945,267.89668052315864,3.888177416759843,2.143016593496558,2489485400,12109331248.413948
2019-09-04 00:00:00,276.8,277.67,276.02,277.65,46887300,277.593,263.29024999999996,262.60856666666666,274.91186064611395,274.764147953875,275.17878827177884,53.93554438452963,0.43747145539987287,98.30205540661306,1.0,273.0357467602448,279.4306579487058,273.68899999999996,267.94734205129413,3.8340218869912825,1.7965169569202484,2536372700,12155081886.595764
2019-09-05 00:00:00,280.25,282.17,277.61,281.22,83258100,277.7264,263.4266,262.7076666666667,276.31366939142197,275.3789910058869,275.4156985356306,58.4593863484432,-0.12352971176841265,93.44827586206904,1.0,274.154180653597,280.6976271287366,274.154,267.6103728712634,3.8858774664919054,1.8765396319374028,2619630800,12203649111.595764
2019-09-06 00:00:00,281.55,282.11,280.84,281.44,49584300,277.8696,263.56075,262.81446666666665,277.452853971106,275.9562299577072,275.6519456518804,58.72837391750259,-0.5792026522931906,94.96551724137919,1.0,274.7762324110062,281.52894562465855,274.36350000000004,267.19805437534154,3.6990290760282005,2.745327102803732,2669215100,12200916118.682379
2019-09-09 00:00:00,282.47,282.56,280.6,281.58,51260300,277.99620000000004,263.71714999999995,262.91696666666667,278.3699975330824,276.49182710459223,275.88441837141454,58.910712239495034,-0.9407788575215932,93.41840161181989,1.0,275.0839055091933,282.49518507644063,274.674,266.8528149235593,3.574812713454756,1.9663226507332998,2720475400,12200916118.682377
2019-09-10 00:00:00,280.79,281.58,279.47,281.51,57947100,278.093,263.89635,263.0180333333333,279.0677758590641,276.9697483327263,276.10502941567285,58.7709005747347,-1.207759886033557,92.94828744123565,0.992041937011715,275.4714493603372,283.40704068771396,275.149,266.89095931228604,3.47018323392227,1.9705147245263874,2662528300,12255018387.402756
2019-09-11 00:00:00,281.83,283.6,281.15,283.52,68821100,278.1798,264.08140000000003,263.12399999999997,280.0571590014943,277.5935818248476,276.39581257584257,61.58979287502716,-1.5635112914371803,99.49780288763314,1.0,275.9704838268969,284.53751793726065,275.513,266.4884820627393,3.397313002927825,5.409525225861603,2731349400,12319345048.21908
2019-09-12 00:00:00,284.46,285.6,283.67,284.5,72908700,278.2716,264.2796,263.2362,281.04445700116224,278.25133593676685,276.71362384737813,62.92091631065745,-1.9025927481899885,93.8650306748465,1.0,276.6207962800554,285.49091520108925,276.33399999999995,267.17708479891064,3.3032192170044117,4.614818900533191,2804258100,12309145385.524778
2019-09-13 00:00:00,284.96,285.33,283.92,284.31,62104800,278.3148,264.45709999999997,263.34093333333334,281.7701332231262,278.82835156183666,277.01152095140253,62.46890657032051,-2.1314161943844283,92.06153846153833,0.9755534110110948,278.12398709032743,286.20709381306773,277.1105,268.0139061869323,3.1679892729326657,4.957914943886594,2742153300,12281396432.333288
2019-09-16 00:00:00,283.13,284.36,282.76,283.43,58191200,278.34680000000003,264.626,263.4356,282.1389925068759,279.2666037940427,277.26322601213184,60.307973841309,-2.216204749729002,86.64615384615375,0.8586810749870093,279.06518277320737,286.90688732724686,277.6445,268.3821126727531,3.0559900391517627,3.9004362329997386,2683962100,12271940362.333288
2019-09-17 00:00:00,283.22,284.24,283.04,284.15,41475500,278.4242,264.76975000000004,263.52503333333334,282.5858830609035,279.731689146991,277.53329558028355,61.481994243991494,-2.314814532409457,91.0769230769228,0.9080686546749721,279.8910111236983,287.6979800994791,278.05,268.40201990052094,2.923419322069493,2.8522821877149154,2725437600,12307194537.333286
2019-09-18 00:00:00,283.74,284.43,281.62,284.32,73375800,278.49800000000005,264.91715,263.61193333333335,282.97124238070273,280.16867113299185,277.799440851645,61.7695242584595,-2.379254509923669,89.71887550200783,0.9143012713307012,280.7681818045126,288.39105493314975,278.57,268.74894506685024,2.915317941921672,2.9585370269780977,2798813400,12374825612.778126
2019-09-19 00:00:00,284.72,285.76,283.95,284.3,76560500,278.5446,265.0567,263.70506666666665,283.26652185165767,280.56213102508787,278.05436473981575,61.71115974649387,-2.401032218689295,88.42188739095972,0.9099571693670735,281.4366002521642,289.03653549054013,278.9775,268.9184645094599,2.836366660355839,3.5550375173016646,2722252900,12327874145.9273
2019-09-20 00:00:00,284.93,285.22,282.13,282.96,89565000,278.5512,265.17255,263.786,283.1984058846226,280.79049949888906,278.24674259315634,57.77244239565498,-2.283837748705764,77.79540047581278,0.616796322103755,281.98771069562383,289.43094771971573,279.322,269.2130522802843,2.8544833274732815,1.9124797406807144,2632687900,12286424971.170017
2019-09-23 00:00:00,282.26,283.64,282.0,282.89,43476800,278.5312,265.33015,263.866,283.12987124359535,280.9904519275663,278.4288311189149,57.56574587359141,-2.1604080329213957,70.53388090349074,0.40401237910985305,282.63387997636937,289.03833835285286,280.01800000000003,270.9976616471472,2.7677345183680457,0.5938411208306518,2589211100,12290136405.316359
